mx,my
88,71
72,76
60,77
56,84
82,68
56,79
76,53
67,61
78,63
68,77
61,65
72,63
79,59
67,69
74,64
66,68
65,61
72,54
62,67
79,59
53,51
74,73
54,74
67,52
52,72
72,62
53,65
67,72
76,68
58,67
52,67
57,73
65,72
67,73
60,58
77,67
43,64
74,50
82,74
63,73
95,68
71,67
80,61
62,60
60,55
62,62
60,51
66,62
76,61
67,63
65,64
73,76
61,63
54,60
73,53
60,63
51,80
56,48
60,73
57,61
57,62
57,68
56,52
77,55
69,60
60,53
68,53
63,69
76,58
52,66
58,73
62,78
76,60
70,68
72,53
69,66
71,70
55,79
63,64
53,70
