mx,my
40,39
67,56
53,53
63,51
50,34
60,34
69,44
66,52
68,31
34,63
53,48
52,35
55,30
59,41
52,64
42,56
46,59
51,56
48,63
56,42
67,48
56,35
58,51
54,44
65,21
63,25
58,46
38,57
54,51
54,44
66,54
35,60
51,46
64,33
51,50
40,67
39,61
78,50
66,46
65,40
53,48
61,44
42,60
62,48
61,47
56,51
66,42
49,46
71,51
64,40
57,52
39,68
64,49
72,38
45,48
57,56
55,35
63,35
70,43
49,54
55,33
60,43
58,41
52,46
66,42
64,35
61,34
45,31
52,53
60,49
47,26
38,51
61,38
72,34
49,55
51,50
52,45
38,47
62,48
45,43
59,33
39,51
54,42
64,36
50,45
55,42
42,47
32,62
71,28
63,54
25,68
48,45
53,59
60,39
67,39
72,41
45,40
52,42
55,44
59,40
