mx,my
70,53
55,58
45,57
65,61
58,60
64,55
52,45
58,38
53,64
69,52
37,59
55,45
72,35
51,50
54,49
66,43
41,53
62,31
42,52
70,36
30,61
64,50
64,51
67,27
36,53
68,37
70,46
79,50
65,45
71,45
39,46
38,57
78,51
58,50
39,44
78,42
45,39
52,39
57,75
51,51
72,58
53,49
57,51
66,35
52,31
37,64
48,29
42,54
64,39
50,45
63,39
53,61
42,47
58,35
55,35
73,42
63,58
56,23
42,56
75,43
65,38
51,44
49,28
52,59
60,37
37,63
57,31
45,51
64,36
72,51
45,52
56,54
61,40
65,44
53,37
67,41
63,46
47,55
71,40
47,46
