ma1,ma2,ma3,ma4,ma5,ma6
-0.571170457051587,-0.15925592820698256,-0.47799347578004087,-1.1985714886299153e-06,0.6371784308453526,-0.5711196001975075
-0.7749780945037416,-0.13583604795821327,-0.6293587061212718,4.515432463272475e-06,0.7651492744595213,-0.7749344443836274
-0.741451365575031,-0.1822822267371478,-0.5680639982691277,6.237286413268665e-05,0.7502960096205343,-0.7414723478387245
-0.5637212972964634,-0.15033325329712596,-0.48218213169320123,4.035180807640301e-05,0.6325158919176073,-0.563814605498712
-0.5628709899401004,-0.11950933772855046,-0.480304035208756,-6.65817149374108e-05,0.5997361694639627,-0.5629986112830152
-0.560611812906097,-0.12040847221484959,-0.48365532165744035,-0.01046237287740377,0.6081582012401424,-0.5576692993399722
-0.5015441414505719,-0.17773522415955534,-0.388175937208865,4.732624437190359e-06,0.5658742555508506,-0.5014947649413793
-0.5631535755282628,-0.1240191670160538,-0.485759559459969,-8.141673173967397e-06,0.6098022240349493,-0.563193827794304
-0.5423508368936567,-0.16708727185638367,-0.4826680467797623,1.710910458436118e-05,0.6497186348643068,-0.542198178036218
-0.5293333361102166,-0.24455585861827925,-0.40046690416164543,-2.637702936087956e-05,0.6449270309186239,-0.5293001801213321
-0.5391175148558426,-0.19890570717702002,-0.4386780826913335,2.0951291473766547e-05,0.6375339596056813,-0.5390444429157477
-0.5599189702834219,-0.206959340557017,-0.4576956878087266,-2.0867403039878024e-05,0.6645844104821691,-0.5598933709664092
-0.5545174872864371,-0.1525506138496261,-0.46435478517903317,-1.599579542610626e-05,0.6168770624008867,-0.5544965421041634
-0.5067297330634912,-0.16437375370148163,-0.40694424385582656,2.7774463033680363e-05,0.571326938143688,-0.5066129921378073
-0.5570232295491531,-0.20192857586268595,-0.4383388937109827,-1.7167306703933914e-05,0.6403352872016635,-0.5570614789102996
-0.5399328435365087,-0.2111921409354915,-0.41310605180023346,1.4572858278711132e-06,0.6244255081287181,-0.5399342429389176
-0.5645433306543264,-0.177204573824698,-0.45671266903010327,-5.003809384570034e-05,0.633841207707007,-0.564553600199615
-0.769692904918961,-0.16844562104994437,-0.5909622526575861,7.795747336002946e-05,0.7594946123718996,-0.7697587706135356
-0.5519586020601067,-0.12639919083269577,-0.503913601068723,4.639383253029514e-05,0.6303040035750138,-0.5520484156396698
-0.5636240099437856,-0.11892104435376634,-0.47999416434854186,-2.2148524100188438e-05,0.5990156855324087,-0.563609764584921
-0.5173547895398342,-0.13273723901134907,-0.4251232196317685,-4.1302351529926484e-05,0.5578820923921544,-0.5173481460025464
-0.7623709448460416,-0.18677580821421627,-0.5596152541262335,2.193481495904257e-05,0.7464197727682661,-0.7623545195970438
-0.5963780488311949,-0.15012669287117147,-0.49010304405805566,3.4678694847602e-05,0.6403281425049429,-0.5963961603590194
-0.5677419356887722,-0.17076989882170143,-0.4679074957394258,-7.46111245780837e-05,0.6388050347643227,-0.5676811589409755
-0.532436398482608,-0.1757264450553823,-0.45204027445037864,-0.0001352363606214961,0.6284435626374506,-0.5325773392220419
-0.5283743126772247,-0.14687516656680344,-0.4907798692382633,6.33428598635579e-05,0.6375999484395585,-0.5283856515238499
-0.5715272739826474,-0.11122666027096896,-0.4970229826101804,5.199866544507835e-05,0.6083142441381834,-0.5713652490415317
