ma1,ma2,ma3,ma4,ma5,ma6,g1,g2,g3,g4,g5,g6
-0.571170457051587,-0.15925592820698256,-0.47799347578004087,-1.1985714886299153e-06,0.6371784308453526,-0.5711196001975075,-1.213651398534177,-0.33837721051534675,-1.0158442898514686,3.8095743363922305e-05,1.354046763893635,-1.2136981801726412
-0.7749780945037416,-0.13583604795821327,-0.6293587061212718,4.515432463272475e-06,0.7651492744595213,-0.7749344443836274,-1.5498720825852226,-0.27164880508051154,-1.2586924599954359,2.592408701085816e-05,1.5302112982758425,-1.549850973167173
-0.741451365575031,-0.1822822267371478,-0.5680639982691277,6.237286413268665e-05,0.7502960096205343,-0.7414723478387245,-1.5571118609858634,-0.382767999033693,-1.1928267439346096,7.214193551336926e-05,1.5755368873060693,-1.5571040634054487
-0.5637212972964634,-0.15033325329712596,-0.48218213169320123,4.035180807640301e-05,0.6325158919176073,-0.563814605498712,-1.1979746368163466,-0.3194348800663307,-1.0245490795646595,6.574523383669053e-05,1.3440780606774225,-1.1981668483630479
-0.5628709899401004,-0.11950933772855046,-0.480304035208756,-6.65817149374108e-05,0.5997361694639627,-0.5629986112830152,-1.1258243254562708,-0.23909212486830028,-0.9605829492188653,-7.31436253572912e-05,1.199551108409954,-1.1259420378565839
-0.560611812906097,-0.12040847221484959,-0.48365532165744035,-0.01046237287740377,0.6081582012401424,-0.5576692993399722,-1.1913499962027758,-0.2557767741388931,-1.0277356816661989,-0.022291143792457214,1.2922710460426354,-1.1851173274804356
-0.5015441414505719,-0.17773522415955534,-0.388175937208865,4.732624437190359e-06,0.5658742555508506,-0.5014947649413793,-1.0746504623285555,-0.3807876918420148,-0.8317210677937535,9.095745669925168e-05,1.2126334577341507,-1.0746529173500727
-0.5631535755282628,-0.1240191670160538,-0.485759559459969,-8.141673173967397e-06,0.6098022240349493,-0.563193827794304,-1.1263607313469675,-0.2479521742973013,-0.9715689196819678,1.1496340215599006e-05,1.2196430735107169,-1.1264670578162401
-0.5423508368936567,-0.16708727185638367,-0.4826680467797623,1.710910458436118e-05,0.6497186348643068,-0.542198178036218,-1.1524207412690337,-0.3551657013738993,-1.0255731087533548,5.813054678214029e-05,1.3807218314390775,-1.1522689930272079
-0.5293333361102166,-0.24455585861827925,-0.40046690416164543,-2.637702936087956e-05,0.6449270309186239,-0.5293001801213321,-1.1247351342490615,-0.5195867087269554,-0.8510820258944284,2.834987239726075e-05,1.3705636153481717,-1.1246908584940216
-0.5391175148558426,-0.19890570717702002,-0.4386780826913335,2.0951291473766547e-05,0.6375339596056813,-0.5390444429157477,-1.0781895824548606,-0.3977892138997589,-0.8772757693070791,-2.9557969879607496e-05,1.275002839204062,-1.07804464316317
-0.5599189702834219,-0.206959340557017,-0.4576956878087266,-2.0867403039878024e-05,0.6645844104821691,-0.5598933709664092,-1.1898777036594022,-0.43973285708984244,-0.9725036463381973,-7.538073834833898e-05,1.4122179011290488,-1.1898362073263502
-0.5545174872864371,-0.1525506138496261,-0.46435478517903317,-1.599579542610626e-05,0.6168770624008867,-0.5544965421041634,-1.1089678603545199,-0.3050531325784276,-0.9286126209054475,5.426047822054389e-05,1.2336582747425433,-1.1089733323273756
