s1,s2,s3,s4,s5,s6,ma1,ma2,ma3,ma4,ma5,ma6
-7.62868448402898e-05,-3.701059954774877e-05,9.613672789487993e-05,-3.6126851357565215e-05,-3.786519756499018e-05,6.135978038912526e-05,-0.571170457051587,-0.15925592820698256,-0.47799347578004087,-1.1985714886299153e-06,0.6371784308453526,-0.5711196001975075
-8.410642226053255e-05,-2.329083591501302e-05,-2.4952247107634662e-05,-1.689322208431321e-05,8.725064320014297e-05,-1.7915600081686023e-05,-0.7749780945037416,-0.13583604795821327,-0.6293587061212718,4.515432463272475e-06,0.7651492744595213,-0.7749344443836274
5.817570754373946e-05,-2.243374028854106e-05,-9.786584596227499e-05,5.349189015024791e-05,7.702990641167418e-05,1.1029949206431411e-05,-0.741451365575031,-0.1822822267371478,-0.5680639982691277,6.237286413268665e-05,0.7502960096205343,-0.7414723478387245
5.9448943432904855e-05,-2.069616894395665e-05,-7.817802968279608e-05,1.777987406725856e-05,1.6186353327007907e-05,5.405482514220239e-05,-0.5637212972964634,-0.15033325329712596,-0.48218213169320123,4.035180807640301e-05,0.6325158919176073,-0.563814605498712
8.234557606989767e-05,7.344941119935555e-05,-2.5121198646615994e-05,-6.001980451753042e-05,-7.876948202856227e-05,-5.518470944654297e-05,-0.5628709899401004,-0.11950933772855046,-0.480304035208756,-6.65817149374108e-05,0.5997361694639627,-0.5629986112830152
4.4350024284156575e-05,-8.109272681089408e-05,-2.8334982988376112e-05,5.2090158199291636e-05,5.789474903750147e-05,6.2281229328498e-05,-0.560611812906097,-0.12040847221484959,-0.48365532165744035,-0.01046237287740377,0.6081582012401424,-0.5576692993399722
-7.611068233615015e-05,-6.431493740333138e-05,-7.394794708748265e-05,-7.071410379211329e-05,-4.004635953691604e-05,1.861841622741167e-05,-0.5015441414505719,-0.17773522415955534,-0.388175937208865,4.732624437190359e-06,0.5658742555508506,-0.5014947649413793
5.3580290441779255e-05,-8.615973480630146e-05,4.980076202976136e-05,-2.77796865635338e-05,-3.8625440818229606e-05,7.940222763203053e-05,-0.5631535755282628,-0.1240191670160538,-0.485759559459969,-8.141673173967397e-06,0.6098022240349493,-0.563193827794304
-6.64774488772224e-05,9.355438140801198e-05,-8.576946990235257e-05,-1.9354399591442473e-05,-6.198431326698284e-05,8.699084466190499e-05,-0.5423508368936567,-0.16708727185638367,-0.4826680467797623,1.710910458436118e-05,0.6497186348643068,-0.542198178036218
-8.729332013235336e-05,-8.399185501151152e-05,7.987071193937822e-05,-7.502316425700428e-05,-8.326635208533162e-05,-6.402156783025248e-05,-0.5293333361102166,-0.24455585861827925,-0.40046690416164543,-2.637702936087956e-05,0.6449270309186239,-0.5293001801213321
-4.5447256824537874e-05,-2.220045428114048e-05,-8.039607558796291e-05,7.146055282714059e-05,6.50800073005442e-05,-4.424266832536716e-05,-0.5391175148558426,-0.19890570717702002,-0.4386780826913335,2.0951291473766547e-05,0.6375339596056813,-0.5390444429157477
4.4348273005034855e-05,-4.9548083394412856e-05,-8.861356030820389e-05,2.7588895012087278e-05,2.130768494268409e-05,5.581690909384207e-05,-0.5599189702834219,-0.206959340557017,-0.4576956878087266,-2.0867403039878024e-05,0.6645844104821691,-0.5598933709664092
