s1,s2,s3,s4,s5,s6,g1,g2,g3,g4,g5,g6
-8.981396998386515e-05,5.162683927739664e-05,3.194465098665944e-05,4.07534835140666e-05,5.684111009340853e-05,7.617118387326371e-05,-1.1472562517988492,-0.44884137968210647,-0.8778862978078561,-4.275093656909882e-05,1.326840258524671,-1.1474459588270574
9.838034652620564e-05,-3.540307766591866e-05,-8.260603494214536e-05,-1.689624635936582e-05,-2.2697098850166242e-05,8.861014360572739e-05,-1.1997652555302856,-0.3765198909151091,-0.9704214898996596,-8.732267226782668e-05,1.3469381006135963,-1.1997760868357383
7.457436058722067e-05,2.373500538954687e-05,-9.118475110625468e-05,6.710070073800978e-05,4.001234145345478e-05,-7.185088747174717e-05,-1.5394603841985093,-0.3369149771052783,-1.1818333205640659,8.881424598204915e-05,1.5189492124023458,-1.5394456903395994
4.450029889024876e-05,6.290840787581686e-05,-7.67978496085675e-05,1.714698354060573e-05,5.081673103202178e-05,-9.25512218907798e-05,-1.1729620922139783,-0.2686690524783388,-1.0707300046902266,7.929653764369573e-05,1.3393388387744933,-1.1729987631096712
-5.1526739783369635e-05,4.908241213996689e-05,2.714619928845252e-05,-5.0468487207133705e-05,7.800904818822119e-05,-8.322957450523916e-05,-1.1271964931477878,-0.23789117111967265,-0.9600154748963722,6.171439006756829e-06,1.1979533620166292,-1.1271362995953367
-8.333013959571645e-05,8.000742130676031e-05,-7.586600923836784e-05,-0.00010196698212894262,7.745718558282988e-05,-8.436889726759489e-05,-1.1085221717115352,-0.2845283777915272,-0.910891623771803,2.8028654868949104e-05,1.1953731040568076,-1.1085067484085793
4.4892004927632456e-05,0.00010727581348302095,-2.497036893345239e-05,-1.7050085102887635e-05,8.794261666889014e-05,6.041492490993505e-05,-1.5247867816970109,-0.37365889224191556,-1.1192055378835335,6.091971502097277e-05,1.4927516029198633,-1.5247694541189976
4.9038123612454854e-05,0.00010766590896871264,2.630012211213284e-05,3.752545640089977e-05,4.0508000874517336e-05,-5.145979661946853e-06,-1.1928051357860023,-0.30036105165131166,-0.9802323882382235,3.1831933294304226e-05,1.2806157770090112,-1.192787174738377
-6.495332947853427e-05,0.00010139754904070486,4.705123267090272e-05,-6.584104681195413e-05,6.283743007440279e-05,3.6884212520682524e-05,-1.2063785408429775,-0.36300010723878634,-0.9943563610830346,-8.447746206497947e-05,1.3573900067653522,-1.2063639574886587
0.00010665556945888,0.0013342435325220947,-0.00016679180448164743,-0.0002508488918939733,0.00023480850066359693,-5.1377126097484904e-05,-1.064979452534675,-0.3527871336432867,-0.9039137570962756,-1.9623829349018875e-05,1.2566523167742376,-1.0651033013179863
-6.897780053893854e-05,-4.0295947959734235e-05,-2.5419341292298725e-05,4.112185683879943e-05,-1.4183978175097423e-05,-9.271884044625978e-05,-1.1227178144134962,-0.3120643960130026,-1.0428786253723556,8.834148826641116e-05,1.3549158474095087,-1.1227152007926788
-9.656614778119632e-05,-6.80543306019743e-05,2.6026505035581238e-05,3.771052488765747e-05,7.999092714339184e-05,6.745835725574523e-05,-1.2143868202968717,-0.23628009195388183,-1.0562031178647984,6.807282357217684e-05,1.2925777790006032,-1.2142270448651677
-4.740007545400715e-05,-6.764681846860299e-05,-5.960369388802178e-05,5.166354815511198e-05,3.922931035305055e-05,2.98140862220464e-05,-1.5511160310534442,-0.3359277066671867,-1.2121071622710815,0.00010072579158912333,1.5481332685243745,-1.5511439879800257
4.6616167419522014e-05,-6.467538929388894e-05,-0.0001001999230494377,-6.01859468609689e-05,-8.94547381440347e-05,1.2905417697162136e-05,-1.087122171738661,-0.36257632909440113,-0.8759977452490515,-6.032893456576127e-05,1.2384436755791992,-1.0871782180436231
4.7687975319732345e-05,0.00010211384970482129,-5.458045808470757e-05,-8.892310978403373e-05,-4.8340783704858836e-05,-9.548578830909094e-05,-1.1184033651106051,-0.24978013555463938,-1.0438225542665014,-0.024600779471178662,1.3053796502099666,-1.1116894713179784
-7.553731684861731e-05,6.286572399893942e-05,-3.686113308276617e-05,5.743239066458017e-05,-6.384719941632255e-05,2.9780918413102597e-05,-1.0661494642279998,-0.4356945602383343,-0.872991172396622,9.123372764594664e-06,1.3087070815701858,-1.0662009439092397
-4.727085570710443e-05,-4.0389840582299996e-05,4.737420445710683e-05,1.681248529283863e-05,7.757887078163606e-05,8.989989045105062e-05,-1.162129968847898,-0.37416545808843166,-0.8823669385344273,-5.7769452491264166e-05,1.2563998504930924,-1.1623245444295582
7.142331926335288e-05,4.3171965646848776e-05,-4.146175728880763e-05,-8.483669284853335e-05,6.669712848061948e-05,-9.077024261294753e-05,-1.1032580930594016,-0.3262623158233451,-0.9215590022869883,-3.768384039159185e-05,1.248023611314419,-1.1032557690347242
-7.44868029434187e-05,3.337161160565927e-05,2.720412835444108e-05,-6.0715484886841864e-05,-8.279729108640055e-05,-4.1937463117314167e-05,-1.1042466067025793,-0.26934660013237927,-0.8841639746217385,-1.0499041297920266e-06,1.1535562541886606,-1.1042496521309186
-4.521506840671208e-05,7.815678488665156e-05,-6.365870450686373e-05,1.7163639073558556e-05,1.0941962262478455e-05,-8.166264818498803e-05,-1.5649275274356107,-0.37798972277662723,-1.2157501662931032,-6.135609616711126e-05,1.5936841302644664,-1.5649751469970063
-5.7812848343274936e-05,0.00011014396471331622,-2.9242200839441068e-05,8.396892541373546e-05,1.7810623565317485e-05,-6.668536038834105e-05,-1.5630640491556755,-0.3017739242614996,-1.2696032429130766,-5.9191607661096974e-05,1.571513011627864,-1.563140385025564
-6.036393605146628e-05,-8.303983425062e-05,-7.926013630843443e-05,9.214019393954942e-05,-4.83270834727989e-06,4.847075376179788e-05,-1.0760376492799315,-0.3784566749512999,-0.835974716723172,3.548509019594554e-05,1.2145643247986888,-1.0759857838183593
4.60815088958455e-05,-8.549763975107538e-05,-8.361768612807907e-05,3.563062485767432e-05,2.2384402411645965e-05,7.536429330823324e-05,-1.1051101557621934,-0.30117084440941827,-0.9011044544868735,4.0132390448570436e-05,1.2022185607119604,-1.1051586459772702
4.500948754326828e-05,3.0080407216637184e-05,-2.5035764577019393e-05,1.7102002785485126e-05,-5.0040956205421594e-05,-1.048047142671038e-05,-1.0990627945253426,-0.34050524866144055,-0.9182863809449822,-5.417121830077754e-05,1.258640449475295,-1.0989457361635642
4.451934876392727e-05,-7.480295315165364e-05,6.41282659117337e-05,2.5924875858507335e-05,8.97420545200589e-05,-6.423629496676853e-05,-1.6122937632119247,-0.3393733358012206,-1.364372460496857,-2.5526091524779156e-05,1.7038731014362458,-1.6122738506461842
4.7550610932312054e-05,-2.4038206237086968e-05,-4.30519457017553e-05,3.404609956181304e-05,-6.626810359033897e-05,-2.4070295757461224e-05,-1.5776518167177855,-0.33572544624398865,-1.2803003272196822,5.6948307231068315e-05,1.6158549556350097,-1.577800836441582
5.8501744478967055e-05,-2.033745234442108e-05,-4.4508011010080395e-05,-1.6890137292335794e-05,-4.632961799622137e-05,4.542451463684927e-05,-1.199478806452835,-0.4124069590585241,-0.9972300859642171,8.256930401874868e-05,1.4095772652408842,-1.1993715353551107
7.875084199859828e-05,2.0433696674260204e-05,2.645253086619448e-05,3.1272153981021233e-05,-1.394897405049278e-05,1.6776113771932444e-05,-1.0590044111398433,-0.3894154645432331,-0.7779798725589682,-3.612277045257154e-05,1.1673364147055694,-1.058937062613687
-7.89027384895391e-05,2.045708738585006e-05,-4.840082132062662e-05,6.749717387588561e-05,6.953536149545414e-05,9.154411969714005e-05,-1.2026152505900858,-0.3069312013043981,-1.04025153302557,8.27531956184923e-07,1.3471374922613908,-1.2025054194744869
-4.432081940564103e-05,5.3224224950909615e-05,-9.330616346669984e-05,6.485469214467798e-05,-7.739613626611686e-05,-8.868363481440156e-05,-1.1146765292230345,-0.2834867434120752,-0.9361857504527112,3.968539766203669e-05,1.219715926229917,-1.114758352240465
-6.176474134544918e-05,8.397674060756088e-05,-2.746294352728995e-05,2.471404505577368e-05,-1.786246220625287e-05,7.491180808916198e-05,-1.0922358178001768,-0.34594831689991856,-0.883008308647504,-3.11984700894669e-05,1.2288046844984657,-1.0922244030520865
