s1,s2,s3,s4,s5,s6,g1,g2,g3,g4,g5,g6
6.224185810133065e-05,2.5229604297294372e-05,9.855486109699996e-05,5.218446200139226e-05,-3.987632066237978e-05,-7.811257972267782e-05,-1.1433595926978057,-0.16179617671778723,-0.9925956180596922,4.389129922443157e-05,1.1544094601692692,-1.1434623928439642
-4.868864096252423e-05,4.392877627079628e-05,8.312307720181877e-05,-9.681050631726862e-05,4.6036093984014315e-05,5.725718440707794e-06,-1.1368203522489204,-0.20974147073377633,-1.0028382355667271,-2.4746639843261948e-05,1.212560573937843,-1.1366806428534577
4.698962056082223e-05,8.04537231022806e-05,-9.017376415876299e-05,7.942717172770841e-05,-8.663615537507496e-05,-6.811171626530665e-05,-1.0931332776225404,-0.35734608356491465,-0.9367187765069896,-6.398310485778077e-05,1.294059324923888,-1.0931395492162885
-9.511032229081451e-05,0.00010277638635614039,5.0718316849440725e-05,-1.993442910031007e-05,-7.88548660626276e-05,-8.195202836347448e-05,-1.090345764193169,-0.3133702737141368,-0.848147696326783,9.989822440376445e-05,1.1616005481371847,-1.0903956573261806
8.30307117354323e-05,-2.3168349156499346e-05,-5.843408127237382e-05,3.466910960892022e-05,-5.723052078288049e-05,8.605720513532589e-05,-1.0866985977934716,-0.35881336371891254,-0.8925039321199902,2.662967639582606e-05,1.2512722682059794,-1.0866429644158273
-4.4769835192859375e-05,7.156774945293876e-05,-4.682395751398616e-05,-0.00010000156863032572,4.605580091077144e-05,8.875596817148335e-05,-1.1149150059249378,-0.26527093625375464,-0.9305980696637697,5.9154398664058454e-05,1.1957246585036048,-1.114924231841172
4.7679834028535595e-05,-7.385939010440268e-05,7.173476507027488e-05,9.468061354489521e-05,8.863681158288728e-05,-9.031693053174195e-05,-1.0987886839569798,-0.29920752538788364,-0.877590690943057,-8.630214085170289e-05,1.17677651030778,-1.098887465927545
9.821377692631472e-05,-2.0437494811176293e-05,-2.4866313445670585e-05,2.509196572297867e-05,7.194528948861745e-05,-6.415893787270477e-05,-1.0865976913893716,-0.3543382358982238,-0.8841630111345024,5.40376840260934e-05,1.2384159122676826,-1.0866097350569788
-4.787480329415672e-05,0.0001081522046746386,-8.497222070591448e-05,-5.717228688340015e-05,-9.521804241607867e-05,3.067537670897735e-05,-1.0289627458082187,-0.5015901936082157,-0.8187054618838738,-1.901581445589126e-05,1.3201631360859583,-1.0290627117131144
0.15862629179182797,-0.21372759971970368,0.027626786263608594,-0.00010023941953729576,0.1862465693412787,0.1587202450693148,-1.0706624783219485,-0.359382897276485,-0.8009508684203049,6.723470343077381e-05,1.1603762899009435,-1.0705036593384412
-6.0243500625389856e-05,8.56953795231874e-05,-4.519969880867336e-05,2.06523681098858e-05,-5.1880305829143936e-06,3.2546105797059965e-05,-1.093737725118811,-0.2989190472622168,-0.8488149843284728,-8.803402898737e-05,1.1477133569739857,-1.0935718273111819
-9.458288678576565e-05,-4.122392615713011e-05,-8.118583155969361e-05,3.693224100409509e-05,-4.1228225116540784e-05,6.598322143958057e-05,-1.1290890324836602,-0.19473538903799828,-0.9374486619088357,-1.8882344391017087e-05,1.132141032072237,-1.1291486641593778
-5.133326565509577e-05,-4.1070072472670915e-05,-7.62337750819242e-05,6.05556604655888e-05,-1.2345909469857475e-05,-8.055890521063702e-05,-1.0830149653680188,-0.3762927163469762,-0.901252200727233,5.6163585084231454e-05,1.2774288937002216,-1.0830783796609493
-5.284164849239659e-05,4.756437931252577e-05,2.635675082895972e-05,7.718758756336541e-05,8.168760206217485e-05,-9.309651657485318e-05,-1.087401668547377,-0.33580510528327656,-0.8800058874819047,7.722055475738304e-05,1.2158406283170122,-1.087357305463505
-5.4552823794296046e-05,-5.085266029425384e-05,-6.664119529453671e-05,-8.409596616054671e-05,3.0307846348165413e-05,6.144130222196509e-05,-1.0697103616133739,-0.3925748149926008,-0.8447370696191896,-1.557631551384571e-05,1.237331769772318,-1.0698009826876111
8.216068422939315e-05,0.000101832339551855,4.373833101922742e-05,-7.350400977568228e-05,-6.165315392880899e-05,5.573147318038707e-05,-1.1983421009811466,-0.5499954734981393,-0.7854347739813623,-6.118113833980575e-05,1.3352099281257994,-1.198203070412081
4.983596628882481e-05,2.0659805498368655e-05,-8.621176139023135e-05,9.066411738523072e-05,9.12747180077389e-05,5.700986540002617e-05,-1.2379312645416047,-0.48347733833040446,-0.8979826733539306,6.351092632372764e-05,1.3814404317292557,-1.237882939949854
6.211081783380479e-05,6.410885261942667e-05,3.762440478549678e-05,1.8187235577116212e-05,8.327880069369797e-05,8.60876004171729e-05,-1.1030753524654757,-0.2710205966568078,-0.8692161210193852,-5.740181459343614e-06,1.1400956687751398,-1.1032073610755717
5.953739148534254e-05,-8.8403503280432e-05,-4.489002215013471e-05,-1.7506622993046506e-05,7.97052170575796e-06,5.1284790458794305e-06,-1.0800459266279632,-0.3527630898258117,-0.8424915747038567,-5.7876102058104636e-05,1.1951970805741534,-1.080031703613314
-4.463085882111528e-05,-6.71967175609467e-05,2.59048415989227e-05,-4.968974445951346e-05,-5.937098509178895e-05,-1.8440260407537323e-05,-0.9856306050436768,-0.5627681239237763,-0.7031207646857792,8.161902894385613e-05,1.2659770443197573,-0.9854910973486719
-4.433183188723433e-05,-7.94720182089037e-05,4.095765987166544e-05,1.6915447056398136e-05,1.1437457136054263e-05,-8.595121327026334e-05,-1.0717466808678358,-0.39155617948018295,-0.8551946700869574,-9.229666943102727e-05,1.2465878908401722,-1.071766737525483
6.65568548550155e-05,5.6478942055626646e-05,-2.798761533107097e-05,1.7929236685532146e-05,5.272494003349948e-05,5.216730293611249e-05,-1.0702104844605318,-0.3766352991817328,-0.8220950784177167,-3.797655367724449e-05,1.1986656637123883,-1.070311295128887
-7.175717106466806e-05,7.190209142748927e-05,-2.8434871446769705e-05,-7.503373949546699e-05,4.265299814854018e-05,-4.780473022680809e-05,-1.0544748188561053,-0.4573824607926385,-0.8879874371797248,-8.124120848414037e-05,1.3453735322530973,-1.054367531542032
5.398322970329161e-05,-5.121586504408526e-05,-8.85062185309593e-05,-3.7419480220179935e-05,-2.3492400857527684e-05,6.645584145203998e-05,-1.0958103534968955,-0.30710913680535745,-0.8704081961037411,-4.6579171828218425e-05,1.1774821184359074,-1.0957677845518479
6.659279400000884e-05,9.139301515403986e-05,4.710450744038752e-05,2.507779699190138e-05,-8.722495966928534e-05,-4.977767691549673e-05,-1.094750456164464,-0.3278578716785289,-0.8929343963911519,-4.272768591508068e-05,1.220735669395497,-1.094763436530766
6.74247771668135e-05,-3.8751129782355065e-05,-8.863687324289771e-05,7.075579517668018e-05,-3.479771360304085e-05,3.055064191226364e-05,-1.0834927116807607,-0.38509862198773304,-0.9249057138650637,8.170383530625135e-05,1.3098681680616102,-1.0834223922391826
-7.593650002313268e-05,0.0013387150877210985,-2.4978807966036243e-05,-0.0003167398900858487,0.00014308700281517872,-1.9740993897343628e-05,-1.2559954579944281,-0.44024229837748924,-0.9527596780954557,-0.0014309783581578546,1.3933243887837283,-1.256056554680382
-6.335070418561628e-05,-5.0916943313161767e-05,3.249567531327102e-05,-7.087827188190232e-05,4.692106231996007e-05,-6.259838373878779e-06,-1.072662682185777,-0.3587299025406816,-0.8108090078484685,9.84715269596798e-05,1.1693889021315744,-1.0727124973356286
