m1,m2,m3,m4,m5,m6
-0.7749780945037416,-0.13583604795821327,-0.6293587061212718,4.515432463272475e-06,0.7651492744595213,-0.7749344443836274
-0.7582147300393862,-0.15905913734768054,-0.5987113521951997,3.344414829797956e-05,0.7577226420400278,-0.7582033961111759
-0.769692904918961,-0.16844562104994437,-0.5909622526575861,7.795747336002946e-05,0.7594946123718996,-0.7697587706135356
-0.7623709448460416,-0.18677580821421627,-0.5596152541262335,2.193481495904257e-05,0.7464197727682661,-0.7623545195970438
-0.7505112274555074,-0.17338840843270387,-0.5684201809522497,4.848066808898474e-05,0.7418233198997908,-0.7504894484854698
-0.7478692480160531,-0.17667128762426904,-0.5736910883018536,1.4126978523969311e-05,0.750363128145837,-0.7478792423165468
-0.7461078724101344,-0.16015773093125713,-0.5891396892304506,1.4962110760558951e-05,0.7493559934333437,-0.7461333685206523
-0.8061246219315804,-0.16972406937718612,-0.6821541661154726,1.9939216686408955e-07,0.8519814217453829,-0.8061690434705755
-0.7786812421671616,-0.16480296046736673,-0.6459217698101063,2.2575652452256488e-05,0.8107007253300867,-0.7787576916797914
-0.7964908873705273,-0.20165676624000056,-0.6326393906860875,3.120991876566088e-05,0.8344302884681178,-0.7965624265665863
-0.748811552720478,-0.1781391372633671,-0.5622690795169654,7.140494222840203e-06,0.7405304357590285,-0.7488310339876856
-0.8053473680341385,-0.041536494753723965,-0.8042514242417536,-3.3384223052406986e-05,0.8458333188063922,-0.8053744501112029
-0.8362198818299709,0.020850362303296358,-0.8151212467779504,-5.6295312052665136e-05,0.794335773108493,-0.836246736161032
-0.7894935869228943,-0.05934422714910453,-0.709334158311792,-2.4717525262698958e-05,0.7687004979874434,-0.7894516735014012
-0.7687793736265743,-0.1051651856300867,-0.658859666782069,-3.443401178737022e-05,0.764061581230128,-0.7687578425031258
-0.7591049746052388,-0.14110300750887744,-0.6252138188838143,1.3526777026681895e-05,0.7663509380616352,-0.7590796388213189
-0.7527245950916475,-0.17659544691172846,-0.5920762480355428,5.47244471169702e-05,0.7686935209406949,-0.752720079686954
-0.7535763517840295,-0.15406317855107554,-0.6166505999904517,1.0855038817603849e-05,0.7707064720479311,-0.7535625716996699
-0.8266784144762543,-0.21723032387931165,-0.4656951367722599,-6.0868108685249766e-06,0.6829133414341358,-0.82668839625815
-0.7963003462353625,-0.21323297256244272,-0.6233200193130585,1.8599570811445727e-05,0.8365391545228015,-0.7963199236617913
