mx,my
42,18
34,13
25,14
41,18
39,14
42,11
24,23
26,12
37,19
40,11
6,37
27,23
25,18
24,24
26,12
27,14
5,28
31,21
35,3
27,9
8,41
34,11
42,9
35,4
38,15
34,16
32,24
41,19
24,17
29,19
24,21
42,24
42,17
40,9
25,18
33,22
27,15
15,14
46,27
9,66
49,41
24,22
37,12
19,19
18,18
12,35
8,12
35,8
32,10
24,17
26,20
52,24
14,15
26,10
10,14
37,11
57,9
16,3
28,13
46,36
28,69
20,20
7,10
30,15
43,32
12,26
14,8
5,39
28,21
39,24
41,20
27,21
22,21
36,4
18,12
36,6
29,10
31,7
34,17
5,39
